1	3	5
3	27	5
3	23	27
23	60	27
3	13	23
3	20	13
20	30	13
30	21	13
21	31	13
31	46	13
31	43	46
43	81	46
81	99	46
81	166	99
166	154	99
43	50	81
50	41	81
41	45	81
41	26	45
26	24	45
24	11	45
11	59	45
11	18	59
11	14	18
14	33	18
33	52	18
52	53	18
52	76	53
76	64	53
64	51	53
64	88	51
64	90	88
90	120	88
64	76	90
52	79	76
79	95	76
95	106	76
95	118	106
118	129	106
129	139	106
139	147	106
147	148	106
147	161	148
161	173	148
161	191	173
191	193	173
191	217	193
217	237	193
237	228	193
237	296	228
296	327	228
296	347	327
347	424	327
424	384	327
384	337	327
384	364	337
384	407	364
407	414	364
414	352	364
414	399	352
414	442	399
442	433	399
433	380	399
433	480	380
480	497	380
497	381	380
497	516	381
516	462	381
462	359	381
516	576	462
576	438	462
433	442	480
442	531	480
531	546	480
546	568	480
546	594	568
546	590	594
546	531	590
531	644	590
644	661	590
644	708	661
708	754	661
708	752	754
752	813	754
813	798	754
752	734	813
734	863	813
863	833	813
863	907	833
907	975	833
907	993	975
907	917	993
917	1034	993
1034	1024	993
917	958	1034
958	1078	1034
1078	1115	1034
1078	1143	1115
1143	1165	1115
1165	1132	1115
1132	1024	1115
1165	1146	1132
1165	1312	1146
1312	1224	1146
1224	1117	1146
1117	996	1146
996	975	1146
1117	1084	996
1084	1011	996
1011	893	996
1084	1126	1011
1126	1087	1011
1126	1123	1087
1123	1129	1087
1129	1006	1087
1006	963	1087
1006	938	963
938	874	963
938	902	874
902	821	874
821	743	874
743	705	874
821	800	743
800	707	743
821	923	800
923	905	800
923	941	905
923	1006	941
1006	1072	941
1006	1119	1072
1006	1129	1119
1129	1194	1119
1129	1167	1194
1167	1212	1194
1167	1206	1212
1206	1346	1212
1206	1264	1346
1264	1389	1346
1389	1450	1346
1450	1439	1346
1450	1489	1439
1450	1448	1489
1448	1504	1489
1504	1566	1489
1566	1506	1489
1566	1642	1506
1642	1622	1506
1622	1501	1506
1501	1472	1506
1472	1396	1506
1396	1413	1506
1396	1301	1413
1301	1335	1413
1335	1359	1413
1359	1398	1413
1359	1344	1398
1344	1394	1398
1394	1380	1398
1380	1356	1398
1380	1287	1356
1287	1242	1356
1287	1196	1242
1196	1172	1242
1196	1063	1172
1063	1072	1172
1196	1047	1063
1287	1289	1196
1289	1266	1196
1266	1155	1196
1155	1124	1196
1155	1166	1124
1166	1051	1124
1051	1065	1124
1051	990	1065
1051	916	990
916	796	990
796	828	990
916	768	796
916	719	768
1051	1085	916
1051	1099	1085
1099	1121	1085
1121	1093	1085
1121	1137	1093
1137	1097	1093
1097	1054	1093
1097	1040	1054
1097	1061	1040
1061	983	1040
1061	1009	983
1009	944	983
944	900	983
900	932	983
1009	928	944
928	886	944
886	870	944
928	814	886
814	793	886
814	792	793
792	758	793
814	848	792
848	809	792
848	929	809
848	933	929
848	881	933
881	908	933
908	959	933
959	999	933
999	1135	933
999	1056	1135
1056	1173	1135
1173	1237	1135
